Major,School,Link
Africana Studies,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
American Sign Language,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Anthropology,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Applied Physics,College of Science,https://catalog.northeastern.edu/
Architecture,"College of Arts, Media and Design",https://catalog.northeastern.edu/
Art,"College of Arts, Media and Design",https://catalog.northeastern.edu/
Behavioral Neuroscience,College of Science,https://catalog.northeastern.edu/
Biochemistry,College of Science,https://catalog.northeastern.edu/
Biology,College of Science,https://catalog.northeastern.edu/
Bioengineering,College of Engineering,https://catalog.northeastern.edu/
Chemical Engineering,College of Engineering,https://catalog.northeastern.edu/
Chemistry,College of Science,https://catalog.northeastern.edu/
Civil Engineering,College of Engineering,https://catalog.northeastern.edu/
Communication Studies,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Computer Engineering,College of Engineering,https://catalog.northeastern.edu/
Computer Science,Khoury College of Computer Sciences,https://catalog.northeastern.edu/
Criminal Justice,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Data Science,Khoury College of Computer Sciences,https://catalog.northeastern.edu/
Economics,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Electrical Engineering,College of Engineering,https://catalog.northeastern.edu/
English,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Environmental Engineering,College of Engineering,https://catalog.northeastern.edu/
Environmental Science,College of Science,https://catalog.northeastern.edu/
Game Design,"College of Arts, Media and Design",https://catalog.northeastern.edu/
Graphic Design,"College of Arts, Media and Design",https://catalog.northeastern.edu/
History,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Industrial Engineering,College of Engineering,https://catalog.northeastern.edu/
Information Science,Khoury College of Computer Sciences,https://catalog.northeastern.edu/
International Affairs,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Journalism,"College of Arts, Media and Design",https://catalog.northeastern.edu/
Linguistics,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Mathematics,College of Science,https://catalog.northeastern.edu/
Mechanical Engineering,College of Engineering,https://catalog.northeastern.edu/
Media and Screen Studies,"College of Arts, Media and Design",https://catalog.northeastern.edu/
Music,"College of Arts, Media and Design",https://catalog.northeastern.edu/
Nursing,Bouvé College of Health Sciences,https://catalog.northeastern.edu/
Philosophy,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Physics,College of Science,https://catalog.northeastern.edu/
Political Science,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Psychology,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Public Health,Bouvé College of Health Sciences,https://catalog.northeastern.edu/
Public Relations,"College of Arts, Media and Design",https://catalog.northeastern.edu/
Sociology,College of Social Sciences and Humanities,https://catalog.northeastern.edu/
Theatre,"College of Arts, Media and Design",https://catalog.northeastern.edu/
Urban Planning,School of Architecture,https://catalog.northeastern.edu/
